row,cell_id,method,execution_state,runtime,runtime_source,peak_rss,peak_rss_source,peak_vram,peak_vram_source,output_device,device_source,envelope,envelope_source,state_source,note,coverage_status
11,D10 RELATIVE-UNIT-A/B,Final four-scale relative-unit A/B lattice,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Precursor C0/C1/L1 artifacts do not constitute execution of the final D10 lattice.,UNKNOWN
12,D11 DETERMINISTIC-LATTICE-PROBE,Context-feature classical component (partial),PARTIAL_MEASURED,train 620.829 s; val 55.928 s,D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\cml_ctx\REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\cml_ctx\REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\cml_ctx\REPORT.md,CPU processing; exact CPU model UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\cml_ctx\REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\cml_ctx\REPORT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Train and val stage times are copied separately; no total was constructed.,MEASURED
13,D12 RESOLVER-MATCH-ILP-CAL,Resolver/matching/ILP calibration,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,No resolver/ILP calibration package is present.,UNKNOWN
14,D13 TAGUCHI-ROBUST-KNOBS,Taguchi robust-knob program after D10,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,D10 decision dependency is unresolved.,UNKNOWN
15,D14 FACE-POCHE-BRIDGE,Face-first poche bridge,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Required F02-F04 qualifications remain incomplete.,UNKNOWN
16,T20 TRUTH-SOURCE-CROSS,Same-item truth-source crossing and contingency ledger,PARTIAL_RESOURCE_NOT_RECORDED,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_recorded),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,A surrogate audit exists outside a complete T20 execution; no authorized resource value is attributable to final T20.,UNKNOWN
17,T21 ANTI-SILVER-ABLATION,Anti-silver ablation,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Dependencies remain incomplete.,UNKNOWN
18,M30 CLASSICAL-OCCAM-LADDER,Two-hop strong-tabular adapted execution,DONE_MEASURED,1534.1040496999922 s (wall_seconds),D:\runs\e2_program\cells\w2_02_twohop\results.json,1.0073776245117188 GiB,D:\runs\e2_program\cells\w2_02_twohop\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\w2_02_twohop\results.json,CPU; threads=8,D:\runs\e2_program\cells\w2_02_twohop\results.json,CPU 0.7351128472222223 h / cap 48.0 h; RAM cap 48.0 GiB,D:\runs\e2_program\cells\w2_02_twohop\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,Adapted M30 completion; no VRAM metric was recorded.,MEASURED
19,M31 PU-ANCHOR-LF,Synthetic SCAR PU ladder shared adapted run (partial M31),PARTIAL_MEASURED,run tree 1113.675931 s; repo-published mirror 1154.251072 s,D:\runs\e2_program\cells\pu_ladder\results.json; D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\pu_ladder\results.json,run tree 1.8078536987304688 GiB; repo-published mirror 1.8087806701660156 GiB,D:\runs\e2_program\cells\pu_ladder\results.json; D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\pu_ladder\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\pu_ladder\results.json,CPU; thread_limit=8; Windows-11-10.0.26200-SP0,D:\runs\e2_program\cells\pu_ladder\results.json,RAM limit 51539607552 bytes; ram_limit_exceeded=false,D:\runs\e2_program\cells\pu_ladder\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,The two source trees contain conflicting measured executions. Both verbatim values are retained; they are not averaged or reconciled.,MEASURED
20,M32 PU-MODEL-CAL-FINAL,Synthetic SCAR PU ladder shared adapted run (partial M32),PARTIAL_MEASURED,run tree 1113.675931 s; repo-published mirror 1154.251072 s,D:\runs\e2_program\cells\pu_ladder\results.json; D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\pu_ladder\results.json,run tree 1.8078536987304688 GiB; repo-published mirror 1.8087806701660156 GiB,D:\runs\e2_program\cells\pu_ladder\results.json; D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\pu_ladder\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\pu_ladder\results.json,CPU; thread_limit=8; Windows-11-10.0.26200-SP0,D:\runs\e2_program\cells\pu_ladder\results.json,RAM limit 51539607552 bytes; ram_limit_exceeded=false,D:\runs\e2_program\cells\pu_ladder\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,The same adapted PU run covers the partial M31/M32 axes. Conflicting tree values are preserved without averaging.,MEASURED
21,G40 GRAPH-ADJACENCY-AUDIT,Deterministic typed-graph builder and adjacency envelope,DONE_MEASURED,600.0538349999988 s (elapsed_seconds),D:\runs\e2_program\cells\graph_builder\envelope_numbers.json,1393426432 bytes,D:\runs\e2_program\cells\graph_builder\envelope_numbers.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\graph_builder\envelope_numbers.json,UNKNOWN(not_recorded; Python/NumPy/ezdxf runtime recorded),D:\runs\e2_program\cells\graph_builder\REPORT.md,hard_band_bytes 51539607552; observed_to_band_fraction 0.027036031087239582,D:\runs\e2_program\cells\graph_builder\envelope_numbers.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,The artifact records no explicit CPU model or CUDA device.,MEASURED
22,G41 CHEAP-GRAPHSAGE,Three-seed supervised GNN-A formal run,DONE_MEASURED,5546.524494100013 s (formal_elapsed_seconds),D:\runs\e2_program\cells\gnn_formal\results.json,4879257600 bytes (peak process-tree RSS),D:\runs\e2_program\cells\gnn_formal\results.json,878431744 bytes (peak CUDA allocated),D:\runs\e2_program\cells\gnn_formal\results.json,NVIDIA GeForce RTX 5070 Ti,D:\runs\e2_program\cells\gnn_formal\results.json,G5 RTX cap 132.0 h; RAM cap 48.0 GiB; cumulative G5 charge 1.9888418039166709 h,D:\runs\e2_program\cells\gnn_formal\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,All resource fields are copied from resource_usage.,MEASURED
23,G42 SSL-GNN-FULL,Full SSL-GNN program,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,"A preliminary SSL arm shared the G41 run, but the final G42 program was not executed and is kill/resource blocked.",UNKNOWN
24,R50 RASTER-RIGHTS-BRIDGE,CRS technical bridge axis (partial; rights gate unresolved),PARTIAL_RESOURCE_NOT_RECORDED,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,The CRS report records technical measurements but no resource telemetry.,UNKNOWN
25,R51 LOCAL-RASTER-SEGMENTER,Local raster segmenter,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Rights and code-landing gates remain closed.,UNKNOWN
26,R52 RASTER-VECTOR-COMPLEMENT,Raster-vector complement (CRS adapter axis only),PARTIAL_RESOURCE_NOT_RECORDED,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\instruments\crs_REPORT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Only the technical CRS/coordinate adapter exists; no R52 resource measurement is recorded.,UNKNOWN
27,R53 FRONTIER-VLM-JURY,Frontier VLM jury,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Approval and rights gates remain closed; no API calls were made.,UNKNOWN
28,R54 LOCAL-OPEN-VISION-NO-SILVER,Local open-vision fine-tuning without silver,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Rights and code-landing gates remain closed.,UNKNOWN
29,R55 SILVER-STUDENT-EXPANSION,Silver student expansion,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,T21/R50/resource dependencies remain closed.,UNKNOWN
30,A60 VERIFIER-REWARD-SOUNDNESS,Verifier family-diversity adapted execution,DONE_MEASURED,17.803125 s total CPU time,D:\runs\e2_program\cells\g1_verifier_families\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\g1_verifier_families\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\g1_verifier_families\results.json,CPU accounting only; exact CPU model UNKNOWN(not_recorded),D:\dev\99_tools\autocad-sdk-router\reports\e2\cells\g1_verifier_families\REPORT.md,CPU cap 24.0 h; budget_kill=false,D:\runs\e2_program\cells\g1_verifier_families\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,"The artifact records CPU time, not wall time.",MEASURED
31,A61 FIXED-ROUTING-BANDIT,Fixed routing bandit,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Harness landing and F05 completion gates remain closed.,UNKNOWN
32,A62 HORIZON-ONPOLICY-PROBE,Horizon on-policy probe,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,A61 dependency is not complete.,UNKNOWN
33,A63 SET-ASSEMBLY-ZERO-LEARNING,Set-assembly exact/beam/greedy diagnostic adapted execution,DONE_MEASURED,22.118283299991162 s wall; 33.359375 s total CPU,D:\runs\e2_program\cells\g9_rl_diag\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\g9_rl_diag\results.json,UNKNOWN(not_recorded),D:\runs\e2_program\cells\g9_rl_diag\results.json,CPU; Windows-11-10.0.26200-SP0; thread environment=1,D:\runs\e2_program\cells\g9_rl_diag\results.json,CPU cap 72.0 h,D:\runs\e2_program\cells\g9_rl_diag\results.json,D:\runs\e2_program\cell_state_audit\AUDIT.md,Wall and CPU totals are both direct fields and are not combined.,MEASURED
34,A64 SET-ASSEMBLY-RLVR,Set-assembly RLVR,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,A63 negative kill chain prevents launch.,UNKNOWN
35,A65 FULL-RL-FACTORIAL,Full RL factorial,UNKNOWN_NOT_YET_RUN,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,UNKNOWN(not_yet_run),D:\runs\e2_program\cell_state_audit\AUDIT.md,D:\runs\e2_program\cell_state_audit\AUDIT.md,Kill chain and DGX resource gate prevent launch.,UNKNOWN
