section,key,value
split,cal_eval_high_quality_architectural_drawings,58
split,cal_eval_high_quality_drawings,27
split,cal_eval_colorful_drawings,14
split,required_family_intersection_count,0
arm,GNN_A_no_pretrain,load frozen seed 17|29|43 checkpoints and run full-graph val-A inference only
arm,control_twohop_GBDT_full,fresh sealed W2-02 30-feature HistGradientBoosting fit on train-only then val-A inference
temperature,unit,one positive scalar T per arm and model seed
temperature,fit_universe,cal-fit rows only
temperature,reported_metric_universe,cal-eval rows only
temperature,probability_clip,1e-12
temperature,parameterization,log_T
temperature,optimizer,scipy.optimize.minimize_scalar bounded
temperature,log_T_bounds,-4.0|4.0
temperature,xatol,1e-12
temperature,maxiter,1000
temperature,objective,binary NLL on cal-fit
temperature,threshold_after_scaling,0.5
temperature,optimizer_seed,none; deterministic
metric,ECE,10 equal-width bins; weighted absolute confidence-positive-rate gap
metric,Brier,mean squared probability error
metric,Brier_REL,sum n_bin/N * (mean_probability-positive_rate)^2
metric,Brier_RES,sum n_bin/N * (positive_rate-overall_positive_rate)^2
metric,Brier_UNC,overall_positive_rate * (1-overall_positive_rate)
metric,Brier_decomposition_residual,Brier - (REL - RES + UNC)
metric,NLL,mean binary NLL with probability clip 1e-12
metric,classification,precision recall F1 and confusion counts at threshold 0.5
metric,style_slices,cal-eval pooled and 3 source categories AUPRC F1 drawing count and pooled-minus-category gaps
metric,seed_aggregation,per seed plus arithmetic mean and population SD
metric,reliability_table,bin confidence accuracy count signed gap absolute gap
metric,direction_numeric_profile,recall@0.5 plus signed calibration gap masses and row fractions
band,text_1,temperature 전후 REL≤0.03 ∧ RES≥0.03
band,text_2,style drop≤0.10
band,text_3,calibration 실패를 threshold 재탐색으로 덮지 않는다
band,adjudication,do not emit any band verdict
limit,style,This is IID source-category slice measurement of frozen models; not held-out-style retraining OOD; true OOD is future preregistration
selftest,1,split determinism
selftest,2,cal-fit/cal-eval family intersection equals zero
selftest,3,all frozen GNN-A checkpoint SHA-256 values unchanged
selftest,4,val-B blocked before filesystem path construction/read
selftest,5,test blocked before filesystem path construction/read
selftest,6,fixed threshold equals 0.5
selftest,7,temperature fit uses cal-fit only and reported metrics use cal-eval only
evidence,preferred,evidence.xlsx
evidence,fallback,single row-complete evidence.csv plus reason in REPORT.md
evidence,current_environment,@oai/artifact-tool workspace dependency loader unavailable
output,reproducibility_claim,휘발 필드 제외 수치 전 필드 동일
output,report_last_line,CELL_COMPLETE: e6_calibration_ood
input_hash,packet,a9ea210148cde7ad6488a0c97ba384b7fd453247925649adb976f3911db2cfc2
input_hash,calibration_dossier,6641dd63044ad22b94d6c2a61baf85f86ca4c9191745659171e8a806864c294d
input_hash,split_manifest,8aad64eeda77df55296fc711c21d7befdeada7fe379aeafec81fd1691aea044f
input_hash,formal_runner,0413f1035de76ab8a175c37c291c3fca634a2f1effb8135b5371aa357d5a94c0
input_hash,graph_builder,c95d4a30d30e0db157fe56102053a7884902b7749464f7f4cb8852c0819321f6
input_hash,screen_v2,895249f0b6c77ac8f8a7cfb73e859a0882681ad6bba6e337480b55db269ce120
input_hash,W2_02_source,ae81bf8c5311fc19c8ad38f7feca5d1c15bf39a71d41a1fb925775d6e63aafe6
input_hash,train_labels,8f72d8931c6e08927bf027ee87f1bc5362ab1a85217862e09a0cddd6b0b0d5aa
input_hash,baseline_design_train,8e2ca80cc52ab9ebcbb9f8f60fb1d4177186cd1e7fafcfee486cfcbc40335a11
input_hash,baseline_context_val_A,b568bb4c3dffce46629355bf7670cf00f6c86ecbfe14b5feb87f4e6103449a91
input_hash,baseline_twohop_val_A,ef0febd1d6da09a2a129c26dcc19028828e80bb4fa19c9db2b3eb5b423cef1df
input_hash,GNN_A_seed_17,612e4bf954ff5967853f7a08e66195b79dfa15250d6e9d42f88a877c92a3952c
input_hash,GNN_A_seed_29,1b4bbd004491609cfe8cfc217d18b0ec5ff344f8fee43c67b392a4c37dbc6877
input_hash,GNN_A_seed_43,ab37cf25894e8ed7f2e96ca287a21da961c68d37bcf2bd9633ae1cb9b663e2a3
input_hash,formal_control_seed_17,7de0cddb8a6d5f8690ecacbd24a1c3a39f4594ffdb5fe2145edbf785189f09df
input_hash,formal_control_seed_29,3e868c986a68f5a4a97ed481a825ec7b648338b5697bc5d62ccaf0e5253437aa
input_hash,formal_control_seed_43,797dd0fce30489fa44de585a3b20ef63df3e38038728db5a92addb44d017ad58
