record_type,id,name,value,path,sha256
INPUT,,shard_02.json,33735,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_02.json,84de86192f5e1b4082f075be12bc703b32856af3b40c5c4f566b085a1661cd76
INPUT,,shard_03.json,37922,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_03.json,6404d5a77c45bd2ea651f27ce1190d487e085b0f50dc5d678d9b44b7cbbfe855
INPUT,,shard_04.json,33313,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_04.json,69033ccbecb4c43158994cbf15a6edd80001a3e9c66b972c275da43099a7c8bf
INPUT,,shard_05.json,34204,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_05.json,c5bd177d9fac1f334c833e90ca6a20224df15c0a42ba6d32dd7d5230c0380259
INPUT,,shard_06.json,31430,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_06.json,99b9939331ac2dcb9a8c136e81f16859ecb643fdad056d1fb2a6e226398641bf
INPUT,,shard_07.json,34522,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_07.json,48a1b9cad3419392ba252c3445c16a0ea3843125d0240586b55184db9af4e171
INPUT,,shard_08.json,34820,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_08.json,aede0dbf57cb918f751d0cd16fd6e444fd765c916f3b1eefe9b71d8e44af889b
INPUT,,shard_09.json,34000,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_09.json,dd4d20e23fe9d51bf542c7e148e06fc24c4efef647932f0227c1d4981040560b
INPUT,,shard_10.json,32930,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_10.json,832455208a2376de4a0ef3526245c1df544a2bea954f94a33d37a346df36a3a4
INPUT,,shard_11.json,33762,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_11.json,e74621e0eb943f26b246ba4318796ec9e006154faa80ffa04822a0740ef1115d
INPUT,,shard_12.json,34974,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_12.json,da3469da8dbf45b6835398bd181464d39607b9e6217ed8d94b9c7fd341c1feae
INPUT,,shard_13.json,35160,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_13.json,24c4141490f39a8b690f10998f14c98fadbd9d1f65dc26be431bc1a0d47bc9bd
INPUT,,shard_14.json,29810,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_14.json,e361b63d72dfc56a304b295164a902b3275bb46ccad21fb09a8eec7e78da009b
INPUT,,shard_15.json,32785,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_15.json,223993773b3cc32e92299b2778616429339b9c7fb4d1f84373c76ba05c21b0d0
INPUT,,shard_16.json,24962,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_16.json,05f5143f8206288b3aaf7e03498d8f148de2eb45e3a5ac963445a2018a188d52
INPUT,,shard_17.json,30164,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_17.json,fccd4e727b477415e0b5d634c6c533fd264fe107a4b4c328c8390812c222986f
INPUT,,shard_18.json,26581,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_18.json,31b05d7f3b8e24db5226391e3c9e932f8283d60b4e1584c5216d6521e77a3d2d
INPUT,,shard_19.json,24859,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_19.json,21af95a4bec638ac05c9304ee846a9e35e0d2a6395793611612b1aeef6b3b5d6
INPUT,,shard_20.json,6563,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\fable5_high\shard_20.json,1147e001129313d860e82076b839940368f13389c47c3e1d743f81a476dfaa91
INPUT,,shard_01.json,15879,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_01.json,de2152fd3244d1fa9550fd6a093b17b1ad7572d644db1cc6ad903298cf08411e
INPUT,,shard_02.json,14160,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_02.json,03d69d72f563537e3de49d35b9cb2a46904496c12cf8a79d87fbf407c3af7feb
INPUT,,shard_03.json,14688,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_03.json,d4e829ccc135a2805e2c6a38cc9085b80374a826a74036cd298724af3e22b0d2
INPUT,,shard_04.json,14764,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_04.json,9ff7e2f8f32280a1b9d17a5b952cba2472fe1ae8a1cd2dddd4315a3159d21307
INPUT,,shard_05.json,15371,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_05.json,951f7776bd3c0e592d95dcf3c2484033c24b690e8dce1491a5dfddd21808548e
INPUT,,shard_06.json,15519,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_06.json,a0156771e1253b62058ffff172ed0b3f8b2d45a7110e2e611469e779686d780f
INPUT,,shard_07.json,15668,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_07.json,90cd5f77408cce4085b2002e608cc7571fef0ad9b0c056941af2362ace799bc4
INPUT,,shard_08.json,20863,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_08.json,fa5aaf7cb737c88c4ed3ed2536ec1122e46c45a2d28d5fdd957c4a9c877d8334
INPUT,,shard_09.json,17661,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_09.json,820a4a1daf1367031a283c84b8201af4ac4893e304fbba518fde9d10ab8bd527
INPUT,,shard_10.json,16520,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_10.json,c59e15113ddf2ee96d30abfbe0dff61f62abf1230e6e0279f3a0c01a1cef4f3f
INPUT,,shard_11.json,18191,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_11.json,221bcf119bbb6be591ebb7a4a6e4a2af772bc0d11a4d02f3710c0acefba8b0d9
INPUT,,shard_12.json,19937,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_12.json,2d8abe27b68bc5425315fc7c177e0b26d16b073eb561cd7d5ff134ce84ac744a
INPUT,,shard_13.json,19787,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_13.json,350f15eac89caca5bed3e200182bd0d53e754056e097c87268016a68d6015280
INPUT,,shard_14.json,26780,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_14.json,a8798296d3bca6d1ca92c707e05d6c9be2166bb622b6342c6c4008739bfc6c25
INPUT,,shard_15.json,26648,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_15.json,f90a548b3c3471e870b98e2bc8a641aea1b1ca06578d3e7ac90a0d721c49ad93
INPUT,,shard_16.json,20922,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_16.json,bdc27d0651ff9ee6056f67f3ecde94b689127613386b91373ac0c36020807668
INPUT,,shard_17.json,26310,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_17.json,dae0b6dc53af5aad3c8ce06ab84a4ded6b25f3195d78bb103257cc879ae7836c
INPUT,,shard_18.json,19655,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_18.json,7a17a6803ae05588d7434f4b4394c4428eefa09761ddd758d8071bd0c43055cb
INPUT,,shard_19.json,16200,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_19.json,fdf1a0cbb21b1051cdad996333d54c470af8262999716e8a1636c1c1e2519a4c
INPUT,,shard_20.json,4988,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\grok45_xhigh\shard_20.json,4a19744bb022d51129f52661df14ca5b4642723faa21b93d544f1b08fbe92aea
INPUT,,shard_01.json,36768,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_01.json,b1322ce5975e80df8e6ffb10e04d8d69523a9dc2f4c9cb3be3877a21f5952899
INPUT,,shard_02.json,36878,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_02.json,29c7bcf815f7c8e8b33ac3e2c0e19a27414a7264766e4f1ca1a3fe606c63107d
INPUT,,shard_03.json,38252,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_03.json,0ed6187b5050d008eef72c494e66b5f49cfa13c9f6f04396237efe05b87a68ab
INPUT,,shard_04.json,35952,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_04.json,b60986fcead5b142236e786b5d3fbd4c2b0f0e9d7f33abcb4c121b8f9a704ccb
INPUT,,shard_05.json,41484,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_05.json,c3772285a2cad55485804276bd7c3e254484d2d288e5d0531f4233ea52c145a4
INPUT,,shard_06.json,31075,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_06.json,b042f1da75cd09522483ac2469cbfada9d31f336692b81ee2cb62c47a6111d69
INPUT,,shard_07.json,34181,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_07.json,436975b26b17ab8262158cd0f0a0b01cb1bf5fcd81b5f0fd0152f7505db9c838
INPUT,,shard_08.json,38520,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_08.json,e954acec106adc7ecf7f43cbaaefb17e694f65bb50ab86de9c870da0559f06ee
INPUT,,shard_09.json,33261,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_09.json,85e1990b8510b1d53f857524682d3cb1d006160096e6958ce36bc0d2f15304f3
INPUT,,shard_10.json,33738,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_10.json,76c6c988114b266fd35ebaa77b66f7dcec7837c1944ff6ae56001d657024812b
INPUT,,shard_11.json,34666,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_11.json,984fac30da18133b9271a5f398cd7f29e8a0fc1be6f5d03bd57f38124b7e6d42
INPUT,,shard_12.json,40769,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_12.json,fc7266a2ef128f20facf6e7a3ceef378278c2268e1bf519fc022975f90052e9c
INPUT,,shard_13.json,34099,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_13.json,6386ab2c03601724b0d96da0daf10bfc1342d90d058408d5ad04eb299da94854
INPUT,,shard_14.json,36872,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_14.json,4c5fc0946efe1da436adfb171a5da96af920bc5fbb4dd2ad993be7a720341e50
INPUT,,shard_15.json,31773,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_15.json,e788806279c4b68287f32bb7fbfbd0d34ee32d63f6a58c2610b37c474158b430
INPUT,,shard_16.json,23253,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_16.json,4e0200b5058fb289ebbc500fe36070724deae5624ff40ff82eb31755125f43df
INPUT,,shard_17.json,22437,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_17.json,23731f9cffc0734413186f52d17723e12d915705763ee3b50ae065705cf909bb
INPUT,,shard_18.json,23680,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_18.json,b288982457c726af29155892c424e67340fd01a90c3a69d25f5023e9182245ec
INPUT,,shard_19.json,20332,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_19.json,d0b6fc7e02433ff037611b9f168cf6bc93a10fd05220ebe172484de8d6828580
INPUT,,shard_20.json,6136,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\opus48_max\shard_20.json,86ca229132da073828e7f6b994e6e880d1af4395bf2d179ecd2e3258b34c6823
INPUT,,shard_01.json,18536,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_01.json,757a3bd95d1f08a57a9a9b1e4ee9b5c157c94848df0686e4ec3c20c322b4d075
INPUT,,shard_02.json,18892,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_02.json,10997c12c9f2dd0c357243059823d3adbbe1c80ad30f6a98422cdd761ecf8452
INPUT,,shard_03.json,17914,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_03.json,409e53282986507519a4eb94b1d310fe82bcf22311b88c20190abc22be625ad8
INPUT,,shard_04.json,18175,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_04.json,fdb2d3c30f31b9a659cee44ab815a394cd1e2ab8ab75a583e72e89c67616424e
INPUT,,shard_05.json,17487,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_05.json,3a75dc3fed0b38fbc9307b7b419e275d91f9f723a8d244664fb0aa7d6c7bbdb5
INPUT,,shard_06.json,17665,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_06.json,742113b066142888127dd3f924ed491f211d558b3abe3577f65346787954ecd5
INPUT,,shard_07.json,16965,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_07.json,d38cec33063224b3c5ffc95257b76687619dae311b16098a2ec8d9ae39b4d637
INPUT,,shard_08.json,18607,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_08.json,e703b5aa527319e6c6da9d1209deded16e321a3711676750fba16acf8119e6d1
INPUT,,shard_09.json,17635,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_09.json,01f99ba8f6d9826f2b1990efe7682ac5b29b455f6c787a199c66bf7aa39a1847
INPUT,,shard_10.json,16643,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_10.json,0527eb589770dbeeb7f9178d429c180c3ebfc5b4cae3f53683da4273fed86c0b
INPUT,,shard_11.json,16192,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_11.json,87155cd944c735b94315cafab9c28df98fae87df7ea960e2f3a8486f15965ca2
INPUT,,shard_12.json,17432,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_12.json,563628ba327bf12ef03090c041ed4ad26fd5277583d1b99e1198ffcc97f7a964
INPUT,,shard_13.json,17632,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_13.json,6581f9564e9f1a75f5180969f9385677bbab116d903e1dd6fcb93a00b4940696
INPUT,,shard_14.json,22186,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_14.json,b71bd731c01e91a8e4f274a9ac5623e0f5729ff38d676b5953bb3d6e7bab8da5
INPUT,,shard_15.json,26547,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_15.json,6500881bb7b17f596dbaabd56b8b76df8ccf5a1baa24cba79d0563ea8d03659d
INPUT,,shard_16.json,18667,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_16.json,46c0ffbf61b593aaf908495045c73c21f7e3afda9529612fcc15cfdc9e29247d
INPUT,,shard_17.json,19542,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_17.json,2186f7e65a302f0760993c632e2df7fffdbac6ba26c3def48be9ce6049bbcca4
INPUT,,shard_18.json,19075,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_18.json,5fe9cea601ad978d8e9abc3e525d2a54f4336580a7745425b6519077c847943f
INPUT,,shard_19.json,19956,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_19.json,fe5946f3a189cf51e25029b1585508258866571e1358b320fe1a09557bb7e9f5
INPUT,,shard_20.json,4181,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sol56_xhigh\shard_20.json,96367b500712b51437b8c64b17e5bf1a716adb5c8fc406f8d04aff4fde936f69
INPUT,,shard_01.json,26004,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_01.json,65db382e3cee4bea7c5424270ad9a46f0d923321f784d0a5b31b184082ef79c0
INPUT,,shard_02.json,29175,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_02.json,29425d9363dcea3c0978fd10b6ca0b17dab8b46a179f45a984bb42fcc6520629
INPUT,,shard_03.json,23334,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_03.json,11193397d352576184e6636fec0e3de5ede731617fc78f67293f88481ab7b569
INPUT,,shard_04.json,39518,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_04.json,27e59c4bbdb86bc9648e7fc0a93879d1fd50e2183ad726c28958a9d22734a639
INPUT,,shard_05.json,25039,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_05.json,0543cf17f243804a22d3e9117544f054fe6541f4e9dda15157fdfd8cee37b3cb
INPUT,,shard_06.json,26893,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_06.json,a5abec9fc8bf8552d87d11f1e0dd41975ab3f92e699a63d8cc0798a82ecf39bb
INPUT,,shard_07.json,34661,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_07.json,b8728f6af4fe118a02f86718c7a73e407134054c6b705e9c61cbe855a237265e
INPUT,,shard_08.json,35618,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_08.json,bb6ecb9ebf5dd7f068b247d5af2304d7d072b47f7294e0ccd3988f70c7b7cceb
INPUT,,shard_09.json,24612,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_09.json,48aae1dcd003ef1e52307790ee7859634f3441038fa8ad137cf632440cc99d83
INPUT,,shard_10.json,30727,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_10.json,6e44da91133f5798efcd861a9443d83cb8fe8a1f8ead95d99ab83e23ea26990f
INPUT,,shard_11.json,23447,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_11.json,1036fda43231e5151b0ccc0ac9e66290f1f66c20aed3084c73461950c181a48b
INPUT,,shard_12.json,37519,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_12.json,f2cb8f70b83ad9d7d149b5009f8d51cd003e6847c75ae45c730bf2cabd61a910
INPUT,,shard_13.json,37764,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_13.json,38a7b979bc880d90d45df7ad4dfcd889074b2051066d61afb81928b98e6bf7f5
INPUT,,shard_14.json,31100,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_14.json,1ed9151c124a2b1746a735e577e56a40e1168e72e5783615d8fec889ce8da9a8
INPUT,,shard_15.json,35410,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_15.json,53d7677df726f4df88acf816df681d3b60b96a4e32d36f2dc6de420081f0a927
INPUT,,shard_16.json,29121,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_16.json,9945f258cec88b935f63673e8cd153478524fc1e02ab6aa437ea6def103f19fa
INPUT,,shard_17.json,33514,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_17.json,8da43e03e5b29da27fb548636354d6eb10822a04074da4ec456a50e07cc09474
INPUT,,shard_18.json,26059,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_18.json,9b8af5b800add135ead9d89b080615084467c62ef7a0de5f27e0687dcb2fedce
INPUT,,shard_19.json,31261,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_19.json,8f0d1ba1028b9f593a7d55beea683618859f1371ef585be037c141a57b65c56a
INPUT,,shard_20.json,6992,D:\dev\99_tools\autocad-sdk-router\reports\e1\annot_v1\raw\sonnet5_xhigh\shard_20.json,b34f6c8997ca250835cbe16ac00de1231cdcb42f68240390ae24455d7a695357
INPUT,,prereg_r2_v1.json,5790,D:\dev\99_tools\autocad-sdk-router\reports\e2\prereg_r2_v1.json,fc93dad9232cfd877802c1d53996357eccc710daff8cfb2cf7c865bf7f78bcd2
INPUT,,bbox_units.json,667947,D:\dev\99_tools\autocad-sdk-router\reports\e2\s1\bbox_units.json,48100bd498f621b45a6e742495ae10719b63053ce5bd12ad58a144838cfc1e82
INPUT,,censoring.json,11513,D:\dev\99_tools\autocad-sdk-router\reports\e2\s1\censoring.json,d68a8e261ce33830475a31584d13c044c2906a93e23dd1cb93590d7d999df6c7
INPUT,,entity_census.json,279040,D:\dev\99_tools\autocad-sdk-router\reports\e2\s1\entity_census.json,16a7841dc972e870c3f8d19b5f81f9e6ddda0e9a7a7c4c66e6c2210a3750045a
INPUT,,handle_audit.json,10492,D:\dev\99_tools\autocad-sdk-router\reports\e2\s1\handle_audit.json,8a8131e9f8db3f746ddea537bfa7625305bd35845d1acf7cb161e6ee15162e3f
INPUT,,sortkey_probe.json,203116,D:\dev\99_tools\autocad-sdk-router\reports\e2\s1\sortkey_probe.json,4cb656986a8823fbb43aad5ced05d07d6bc5e55953afc4e7af9d27f5e8c8ff40
INPUT,,FINAL_PROGRAM_PLAN.md,24089,D:\dev\99_tools\autocad-sdk-router\reports\e2\synthesis\FINAL_PROGRAM_PLAN.md,53efc08a96d8b0a770b5f0b5eaf9ae2d9ca8b5ce7db6422dce64e86afb75fda0
INPUT,,1_export.dxf,15305576,D:\dev\99_tools\autocad-sdk-router\runs\e2_b3_dxfout_20260717\1_export.dxf,5a6035721630cddc6d753b1b97b898e7a4ce4d5988342ce85e2c465cdb81deff
INPUT,,PACKET_f01_handle_forensics.md,2052,D:\runs\e2_program\build\PACKET_f01_handle_forensics.md,cd25e0eacd563e073f505f5f4a3ce3a33a4631da05188d5fc0aaac432bf65c98
